Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781377163

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    86 | steps   44,032 | sps   2027 | ep_rew    -0.53 | ep_len    126 | n_eps    3 | pol  0.0001 | val  0.1306 | ent -1.2636 | kl 0.000053 | ev  0.320 | lr 2.96e-04
iter    87 | steps   44,544 | sps   1797 | ep_rew    -0.60 | ep_len    101 | n_eps    3 | pol -0.0003 | val  0.0900 | ent -1.2870 | kl 0.000020 | ev  0.249 | lr 2.96e-04
iter    88 | steps   45,056 | sps   2107 | ep_rew    -2.95 | ep_len    123 | n_eps    3 | pol -0.0009 | val  0.1788 | ent -1.2754 | kl 0.000050 | ev  0.265 | lr 2.96e-04
iter    89 | steps   45,568 | sps   2117 | ep_rew    -0.60 | ep_len    118 | n_eps    4 | pol -0.0012 | val  0.0842 | ent -1.2671 | kl 0.000148 | ev  0.464 | lr 2.95e-04
iter    90 | steps   46,080 | sps   2131 | ep_rew    -0.88 | ep_len    344 | n_eps    4 | pol  0.0003 | val  0.1804 | ent -1.2599 | kl 0.000042 | ev  0.227 | lr 2.95e-04
iter    91 | steps   46,592 | sps   2017 | ep_rew    -0.75 | ep_len    102 | n_eps    5 | pol -0.0018 | val  0.0808 | ent -1.2446 | kl 0.000065 | ev  0.426 | lr 2.95e-04
iter    92 | steps   47,104 | sps   2185 | ep_rew    -1.07 | ep_len    113 | n_eps    4 | pol -0.0049 | val  0.0625 | ent -1.1987 | kl 0.000395 | ev  0.561 | lr 2.95e-04
iter    93 | steps   47,616 | sps   2176 | ep_rew    -0.89 | ep_len     96 | n_eps    6 | pol -0.0002 | val  0.0573 | ent -1.1753 | kl 0.000234 | ev  0.649 | lr 2.95e-04
iter    94 | steps   48,128 | sps   2188 | ep_rew    -1.08 | ep_len    100 | n_eps    3 | pol -0.0015 | val  0.1146 | ent -1.1766 | kl 0.000080 | ev  0.421 | lr 2.95e-04
iter    95 | steps   48,640 | sps   2174 | ep_rew    -1.06 | ep_len    109 | n_eps    6 | pol -0.0007 | val  0.0923 | ent -1.2094 | kl 0.000051 | ev  0.579 | lr 2.95e-04
