Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781379942

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    47 | steps   24,064 | sps   3263 | ep_rew  -156.44 | ep_len    103 | n_eps    6 | pol -0.0003 | val  0.0123 | ent -1.3724 | kl 0.000003 | ev  0.449 | lr 1.00e-04
iter    48 | steps   24,576 | sps   5198 | ep_rew  -149.15 | ep_len    112 | n_eps    4 | pol -0.0002 | val  0.0305 | ent -1.3791 | kl 0.000003 | ev  0.020 | lr 1.00e-04
iter    49 | steps   25,088 | sps   3321 | ep_rew   -90.93 | ep_len     81 | n_eps    7 | pol -0.0001 | val  0.0121 | ent -1.3741 | kl 0.000002 | ev  0.547 | lr 1.00e-04
iter    50 | steps   25,600 | sps   3533 | ep_rew  -109.43 | ep_len     88 | n_eps    5 | pol -0.0001 | val  0.0079 | ent -1.3804 | kl 0.000001 | ev  0.484 | lr 1.00e-04
iter    51 | steps   26,112 | sps   5975 | ep_rew  -169.12 | ep_len     95 | n_eps    5 | pol -0.0002 | val  0.0261 | ent -1.3776 | kl 0.000002 | ev -0.199 | lr 1.00e-04
iter    52 | steps   26,624 | sps   3165 | ep_rew  -162.93 | ep_len     94 | n_eps    7 | pol -0.0002 | val  0.0202 | ent -1.3780 | kl 0.000002 | ev  0.435 | lr 1.00e-04
iter    53 | steps   27,136 | sps   6843 | ep_rew   -97.21 | ep_len     85 | n_eps    5 | pol -0.0003 | val  0.0242 | ent -1.3766 | kl 0.000002 | ev  0.024 | lr 1.00e-04
iter    54 | steps   27,648 | sps   6611 | ep_rew  -145.13 | ep_len     98 | n_eps    6 | pol -0.0003 | val  0.0336 | ent -1.3706 | kl 0.000006 | ev -0.417 | lr 1.00e-04
iter    55 | steps   28,160 | sps   6572 | ep_rew  -198.84 | ep_len     91 | n_eps    5 | pol -0.0008 | val  0.0278 | ent -1.3668 | kl 0.000013 | ev  0.093 | lr 1.00e-04
iter    56 | steps   28,672 | sps   6294 | ep_rew  -192.87 | ep_len    103 | n_eps    5 | pol -0.0001 | val  0.0464 | ent -1.3714 | kl 0.000009 | ev  0.113 | lr 1.00e-04
